"full_name","q","i","pha","H","moid","ad","first_obs","condition_code"
"  7482 (1994 PC1)",0.904,33.47,Y,16.66,0.000596,1.79,1974-09-22,0
"  7753 (1988 XB)",0.761,3.12,Y,18.02,0.00655,2.17,1988-12-05,0
"  7822 (1991 CS)",0.938,37.12,Y,17.34,0.0226,1.31,1991-01-19,0
"  7839 (1994 ND)",1.042,27.12,N,17.83,0.137,3.29,1994-07-03,0
"  7888 (1993 UC)",0.821,26.07,N,15.19,0.0843,4.05,1989-10-28,0
"  7889 (1994 LX)",0.825,36.91,N,15.30,0.154,1.70,1977-08-10,0
"  7977 (1977 QQ5)",1.188,25.17,N,15.19,0.356,3.26,1955-03-23,0
"  8013 Gordonmoore (1990 KA)",1.252,7.59,N,17.09,0.249,3.15,1951-09-01,0
"  8014 (1990 MF)",0.951,1.87,Y,18.88,0.0169,2.54,1990-06-14,0
"  8034 Akka (1992 LR)",1.082,2.02,N,18.02,0.0747,2.58,1992-05-21,0
"  8035 (1992 TB)",0.722,28.30,N,17.12,0.271,1.96,1992-10-02,0
"  8037 (1993 HO1)",1.157,5.91,N,16.63,0.203,2.82,1979-03-08,0
"  8176 (1991 WA)",0.562,39.59,N,17.02,0.193,2.59,1991-12-01,0
"  8201 (1994 AH2)",0.746,9.54,N,15.95,0.1,4.33,1981-12-16,0
"  8507 (1991 CB1)",0.684,14.58,N,17.21,0.22,2.69,1991-02-15,0
"  8566 (1996 EN)",0.858,37.97,Y,16.48,0.0214,2.15,1983-04-06,0
"  8567 (1996 HW1)",1.126,8.45,N,15.36,0.121,2.96,1955-05-23,0
"  8709 Kadlu (1994 JF1)",1.282,3.53,N,17.07,0.268,3.77,1990-09-23,0
"  9058 (1992 JB)",0.997,16.09,N,17.92,0.0865,2.12,1992-01-09,0
"  9162 Kwiila (1987 OA)",0.605,9.01,N,18.02,0.0809,2.39,1987-07-18,0
"  9172 Abhramu (1989 OB)",1.212,7.84,N,16.64,0.252,4.21,1989-07-07,0
"  9202 (1993 PB)",0.558,40.80,N,16.11,0.372,2.29,1993-08-13,0
"  9400 (1994 TW1)",1.084,36.00,N,14.84,0.284,4.09,1991-03-18,0
"  9856 (1991 EE)",0.839,9.83,Y,17.11,0.0224,3.65,1991-03-13,0
"  9950 ESA (1990 VB)",1.140,14.60,N,16.21,0.281,3.74,1990-11-08,0
" 10115 (1992 SK)",0.843,15.32,Y,17.10,0.0444,1.65,1953-10-12,0
" 10145 (1994 CK1)",0.698,4.55,N,17.00,0.0625,3.10,1994-02-10,0
" 10150 (1994 PN)",1.083,45.95,N,15.47,0.227,3.67,1994-08-07,0
" 10165 (1995 BL2)",0.613,23.90,N,17.37,0.376,1.86,1991-02-22,0
" 10302 (1989 ML)",1.098,4.38,N,19.45,0.0829,1.45,1989-06-06,0
" 10563 Izhdubar (1993 WD)",0.739,63.47,N,16.94,0.145,1.27,1991-11-13,0
" 10636 (1998 QK56)",0.918,13.58,N,17.70,0.112,2.85,1955-05-16,0
" 10860 (1995 LE)",1.098,4.15,N,16.99,0.114,4.06,1995-06-03,0
" 11054 (1991 FA)",1.095,3.08,N,17.07,0.123,2.86,1937-11-28,0
" 11066 Sigurd (1992 CC1)",0.869,36.88,N,15.23,0.118,1.91,1976-04-01,0
" 11284 Belenus (1990 BA)",1.153,1.99,N,18.26,0.17,2.33,1950-12-09,0
" 11311 Peleus (1993 XN2)",0.983,25.49,N,15.85,0.0954,3.25,1993-12-10,0
" 11398 (1998 YP11)",1.050,15.02,N,16.38,0.204,2.39,1983-01-05,0
" 11405 (1999 CV3)",0.885,22.86,N,15.26,0.119,2.03,1978-10-25,0
" 11500 Tomaiyowit (1989 UR)",0.696,10.31,Y,18.37,0.0345,1.46,1989-10-25,0
" 11885 Summanus (1990 SS)",0.895,19.43,N,18.52,0.0686,2.51,1990-09-25,0
" 12538 (1998 OH)",0.916,24.54,Y,15.97,0.0269,2.17,1991-10-10,0
" 12711 Tukmit (1991 BB)",0.863,38.49,N,16.04,0.11,1.51,1991-01-12,0
" 12923 Zephyr (1999 GK4)",0.998,5.30,Y,15.81,0.0218,2.93,1955-04-21,0
" 13553 Masaakikoyama (1992 JE)",1.174,5.88,N,16.54,0.19,3.20,1979-06-24,0
" 13651 (1997 BR)",0.927,17.25,Y,17.89,0.0139,1.74,1980-02-09,0
" 14402 (1991 DB)",1.026,11.41,N,18.77,0.105,2.40,1991-02-13,0
" 14827 Hypnos (1986 JK)",0.952,1.98,Y,18.78,0.0153,4.73,1986-05-04,0
" 15745 Yuliya (1991 PM5)",1.280,14.43,N,17.41,0.296,2.16,1982-07-27,0
" 15817 Lucianotesi (1994 QC)",1.168,13.87,N,18.47,0.249,1.48,1994-08-29,0
" 16064 Davidharvey (1999 RH27)",1.170,4.54,N,16.86,0.203,4.53,1994-09-01,0
" 16636 (1993 QP)",1.230,7.21,N,18.78,0.241,3.39,1993-08-23,0
" 16657 (1993 UB)",1.228,24.95,N,16.55,0.253,3.33,1993-10-23,0
" 16816 (1997 UF9)",0.571,25.92,N,16.23,0.38,2.31,1997-10-29,0
" 16834 (1997 WU22)",0.819,16.00,N,15.80,0.145,2.12,1988-10-08,0
" 16912 Rhiannon (1998 EP8)",1.274,24.52,N,17.91,0.322,2.23,1992-08-29,0
" 16960 (1998 QS52)",0.310,17.52,Y,14.40,0.0176,4.09,1983-06-14,0
" 17181 (1999 UM3)",0.773,10.65,N,16.77,0.0713,3.97,1955-10-24,0
" 17182 (1999 VU)",0.620,9.26,N,17.14,0.144,2.15,1977-07-18,0
" 17188 (1999 WC2)",0.805,29.45,N,16.40,0.0644,3.63,1990-07-27,0
" 17274 (2000 LC16)",1.219,5.57,N,16.87,0.21,4.24,1955-10-23,0
" 17511 (1992 QN)",0.763,9.58,N,17.32,0.132,1.62,1992-08-29,0
" 18106 Blume (2000 NX3)",1.192,4.22,N,17.78,0.195,3.69,1977-09-04,0
" 18109 (2000 NG11)",1.189,0.81,N,17.19,0.191,2.57,1951-11-08,0
" 18172 (2000 QL7)",1.186,17.83,N,15.69,0.366,3.67,1977-07-21,0
" 18736 (1998 NU)",1.196,2.81,N,15.99,0.21,3.50,1954-05-25,0
" 18882 (1999 YN4)",1.294,36.81,N,16.15,0.432,2.08,1954-01-04,0
" 19356 (1997 GH3)",1.111,3.01,N,17.01,0.123,3.91,1992-11-02,0
" 19764 (2000 NF5)",1.245,1.33,N,16.11,0.23,3.22,1990-08-28,0
" 20086 (1994 LW)",1.190,21.79,N,16.68,0.31,5.16,1994-06-03,0
" 20236 (1998 BZ7)",0.893,6.51,N,17.70,0.0502,3.17,1998-01-24,0
" 20255 (1998 FX2)",1.092,9.96,N,18.45,0.103,3.21,1998-03-20,0
" 20425 (1998 VD35)",0.819,6.99,Y,20.51,0.0029,2.31,1998-11-15,1
" 20429 (1998 YN1)",0.834,6.30,N,17.73,0.0563,2.28,1998-12-16,0
" 20460 Robwhiteley (1999 LO28)",1.104,33.95,N,15.42,0.331,2.65,1954-12-30,0
" 20790 (2000 SE45)",1.222,8.29,N,16.64,0.241,4.28,1992-03-09,0
" 20826 (2000 UV13)",0.880,31.92,N,13.85,0.0896,3.96,1953-10-01,0
" 21088 Chelyabinsk (1992 BL2)",1.300,38.45,N,14.39,0.309,2.11,1990-01-30,0
" 21277 (1996 TO5)",1.141,20.95,N,16.18,0.314,3.62,1990-02-04,0
" 21374 (1997 WS22)",1.116,23.98,N,17.44,0.111,1.42,1974-09-22,0
" 22099 (2000 EX106)",0.799,9.85,N,18.09,0.167,1.41,1994-01-30,0
" 22753 (1998 WT)",0.524,3.20,Y,17.69,0.0337,1.91,1955-10-24,0
" 22771 (1999 CU3)",0.750,11.40,N,16.96,0.0635,2.40,1999-02-10,0
" 23183 (2000 OY21)",1.093,40.97,N,16.06,0.258,2.56,1994-06-03,0
" 23187 (2000 PN9)",0.759,51.33,Y,16.06,0.0124,2.94,1990-08-02,0
" 23548 (1994 EF2)",1.104,23.44,N,17.25,0.242,3.47,1994-03-11,0
" 23606 (1996 AS1)",1.118,14.36,N,18.39,0.103,2.38,1985-07-18,0
" 23714 (1998 EC3)",1.031,8.41,N,16.85,0.0819,3.23,1998-03-01,0
" 24443 (2000 OG)",0.410,25.74,N,16.42,0.151,4.21,1993-06-24,0
" 24445 (2000 PM8)",1.004,23.78,N,14.70,0.0816,3.42,1991-04-10,0
" 24475 (2000 VN2)",1.103,14.63,N,16.40,0.152,2.85,2000-11-01,0
" 24761 Ahau (1993 BW2)",0.927,21.92,N,17.37,0.101,1.74,1993-01-28,0
" 25143 Itokawa (1998 SF36)",0.953,1.62,Y,19.26,0.0129,1.70,1998-09-19,0
" 25330 (1999 KV4)",0.969,14.33,N,16.74,0.174,2.11,1979-11-16,0
" 25916 (2001 CP44)",1.282,15.76,N,13.78,0.277,3.84,1973-04-10,0
" 26166 (1995 QN3)",1.174,14.79,N,16.82,0.273,5.43,1953-08-19,0
" 26310 (1998 TX6)",1.136,5.38,N,19.28,0.157,3.14,1951-07-08,0
" 26379 (1999 HZ1)",0.681,8.68,N,18.20,0.131,2.53,1992-08-27,0
" 26663 (2000 XK47)",0.817,13.53,Y,18.17,0.0342,2.28,1974-07-12,0
" 26760 (2001 KP41)",1.264,11.02,N,15.50,0.261,4.44,1996-03-25,0
" 26817 (1987 QB)",1.139,3.50,N,19.49,0.128,4.47,1987-05-31,0
" 27002 (1998 DV9)",0.988,8.70,Y,18.31,0.00429,2.50,1998-02-23,0
" 27031 (1998 RO4)",1.229,5.35,N,17.88,0.235,3.05,1951-08-26,0
" 27346 (2000 DN8)",1.127,36.95,N,15.88,0.444,2.62,1978-08-24,0
" 29075 (1950 DA)",0.836,12.16,Y,17.29,0.0385,2.56,1950-02-23,0
" 30825 (1990 TG1)",0.777,8.74,N,14.72,0.0692,4.10,1990-09-16,0
" 30997 (1995 UO5)",0.556,36.26,N,17.29,0.402,2.56,1995-10-26,0
" 31210 (1998 BX7)",1.297,8.96,N,16.40,0.356,3.92,1955-11-23,0
" 31221 (1998 BP26)",1.280,20.22,N,17.30,0.294,2.17,1998-01-28,0
" 31345 (1998 PG)",1.226,6.50,N,17.62,0.234,2.80,1978-10-07,0
" 31346 (1998 PB1)",1.158,5.96,N,17.16,0.143,2.90,1998-07-14,0
" 31662 (1999 HP11)",0.722,18.82,N,19.54,0.125,2.47,1999-03-20,0
" 31669 (1999 JT6)",0.903,9.54,Y,16.09,0.000451,3.37,1996-06-12,0
" 32906 (1994 RH)",1.258,18.94,N,16.04,0.453,3.24,1984-09-21,0
" 33342 (1998 WT24)",0.419,7.37,Y,18.02,0.0109,1.02,1998-11-24,0
" 34613 (2000 UR13)",1.269,6.17,N,16.08,0.282,2.87,1934-03-16,0
" 35107 (1991 VH)",0.973,13.91,Y,16.91,0.0255,1.30,1991-11-09,0
" 35396 (1997 XF11)",0.745,4.10,Y,17.01,0.000394,2.14,1990-03-22,0
" 35432 (1998 BG9)",1.136,13.15,N,19.39,0.154,3.86,1998-01-24,0
" 35670 (1998 SU27)",0.857,7.14,N,19.57,0.0721,3.39,1998-09-24,0
" 36017 (1999 ND43)",1.045,5.55,N,19.30,0.0782,2.00,1999-07-14,0
" 36183 (1999 TX16)",1.036,38.22,N,16.32,0.135,2.07,1997-11-26,0
" 36236 (1999 VV)",0.768,58.04,N,15.98,0.227,1.90,1979-11-26,0
" 36284 (2000 DM8)",0.662,46.76,N,15.05,0.267,2.31,1999-12-30,0
" 37336 (2001 RM)",1.165,36.67,N,15.78,0.352,3.34,1977-07-13,0
" 37638 (1993 VB)",0.918,5.08,Y,19.28,0.000275,2.91,1993-11-06,0
" 37655 Illapa (1994 PM)",0.366,18.03,Y,17.85,0.025,2.59,1994-08-01,0
" 38071 (1999 GU3)",1.029,12.74,Y,19.57,0.0333,3.15,1999-04-10,0
" 38086 Beowulf (1999 JB)",0.616,23.67,N,17.35,0.385,2.22,1992-05-01,0
" 38091 (1999 JT3)",1.299,9.33,N,16.30,0.309,3.04,1980-09-30,0
" 38239 (1999 OR3)",0.864,9.40,N,18.26,0.0531,3.21,1999-07-27,0
" 39565 (1992 SL)",1.093,8.60,N,18.46,0.0925,2.19,1950-12-09,0
" 39572 (1993 DQ1)",1.033,10.03,Y,16.56,0.0282,3.04,1993-02-26,0
" 39796 (1997 TD)",1.198,12.91,N,15.71,0.19,3.30,1987-05-10,0
" 40263 (1999 FQ5)",1.254,25.84,N,17.79,0.257,1.74,1988-02-23,0
" 40267 (1999 GJ4)",0.256,34.48,N,15.55,0.157,2.42,1955-03-25,0
" 40329 (1999 ML)",1.235,2.52,N,17.71,0.227,3.30,1999-06-20,0
" 41429 (2000 GE2)",0.708,2.17,Y,20.66,0.0109,2.48,1998-03-25,0
" 41440 (2000 HZ23)",1.243,15.11,N,19.87,0.238,1.91,1998-04-26,0
" 42286 (2001 TN41)",0.863,24.08,N,16.63,0.109,1.98,1975-09-09,0
" 48603 (1995 BC2)",1.093,5.03,N,17.82,0.137,2.74,1986-09-10,0
" 52340 (1992 SY)",1.000,8.08,N,18.10,0.101,3.42,1980-03-19,0
" 52381 (1993 HA)",1.094,7.73,N,20.07,0.168,1.46,1993-04-17,0
" 52387 Huitzilopochtli (1993 OM7)",1.039,24.15,N,17.77,0.0619,1.53,1993-07-20,0
" 52689 (1998 FF2)",1.105,10.98,N,19.17,0.213,2.02,1998-02-25,0
" 52750 (1998 KK17)",0.678,11.17,N,16.67,0.161,2.18,1992-08-29,0
" 52760 (1998 ML14)",0.907,2.43,Y,17.50,0.0166,3.91,1998-06-24,0
" 52761 (1998 MN14)",1.206,19.49,N,17.99,0.195,1.90,1998-06-25,0
" 52762 (1998 MT24)",0.838,33.86,N,14.81,0.139,3.99,1953-10-02,0
" 52768 (1998 OR2)",1.010,5.88,Y,16.02,0.00979,3.75,1987-06-30,0
" 53110 (1999 AR7)",1.292,40.63,N,16.73,0.41,2.00,1998-11-28,0
" 53319 (1999 JM8)",0.977,13.84,Y,15.36,0.0245,4.47,1990-04-27,0
" 53409 (1999 LU7)",0.781,10.88,N,18.73,0.0871,3.42,1999-06-10,0
" 53426 (1999 SL5)",0.886,22.77,Y,17.19,0.0244,2.96,1999-09-28,0
" 53429 (1999 TF5)",0.726,26.78,Y,18.94,0.0482,3.32,1999-10-03,0
" 53430 (1999 TY16)",1.252,60.41,N,16.66,0.291,2.95,1999-10-13,0
" 53435 Leonard (1999 VM40)",1.194,15.35,N,14.74,0.205,3.43,1974-08-13,0
" 53550 (2000 BF19)",0.868,7.17,Y,19.07,0.046,2.12,1991-10-04,0
" 53789 (2000 ED104)",1.002,40.78,Y,17.35,0.0482,1.74,1955-04-16,0
