"full_name","q","i","pha","H","moid","ad","first_obs","condition_code"
"       (2021 VM96)",0.856,15.67,N,32.03,0.00148,4.14,2021-11-09,9
"       (2021 WA)",0.826,9.13,N,24.23,0.0237,3.35,2021-11-16,8
"       (2021 WB)",1.012,19.74,N,22.65,0.0256,3.65,2021-11-17,8
"       (2021 WC)",1.011,8.91,N,24.11,0.031,2.35,2021-11-20,6
"       (2021 WD)",0.823,9.09,Y,21.30,0.0282,3.97,2021-11-21,6
"       (2021 WE)",0.977,1.77,N,25.39,0.0126,2.41,2021-11-21,8
"       (2021 WG)",0.507,3.31,N,28.77,0.00383,1.00,2021-11-23,6
"       (2021 WH)",0.565,6.41,N,25.20,0.00106,4.25,2021-11-23,7
"       (2021 WJ)",0.865,24.45,N,23.77,0.0978,1.18,2021-11-23,7
"       (2021 WK)",0.986,8.27,N,26.39,0.0118,1.61,2021-11-24,7
"       (2021 WL)",0.898,4.13,N,22.33,0.033,3.05,2021-11-20,6
"       (2021 WM)",0.661,28.61,N,19.69,0.138,3.42,2021-11-22,2
"       (2021 WN)",0.497,8.99,N,21.71,0.0967,2.28,2021-11-23,7
"       (2021 WO)",0.604,12.48,N,20.92,0.0601,1.07,2018-11-07,2
"       (2021 WP)",0.932,3.81,N,27.86,0.00106,1.28,2021-11-24,6
"       (2021 WQ)",0.835,2.79,N,24.91,0.0195,2.72,2021-11-24,9
"       (2021 WR)",0.974,1.26,N,25.33,0.0103,4.06,2021-10-28,6
"       (2021 WT)",0.780,3.45,N,25.09,0.000522,4.00,2021-11-25,7
"       (2021 WU)",0.792,2.46,N,26.08,0.00634,4.01,2021-11-25,8
"       (2021 WV)",1.040,0.68,N,25.88,0.056,2.31,2021-11-25,6
"       (2021 WW)",0.964,23.57,N,24.27,0.0292,1.70,2021-11-25,8
"       (2021 WX)",0.850,16.34,N,23.22,0.0469,1.73,2021-11-25,7
"       (2021 WY)",0.924,15.82,N,23.69,0.0401,1.24,2021-11-24,7
"       (2021 WA1)",0.560,3.26,N,27.70,0.000927,1.43,2021-11-27,6
"       (2021 WC1)",0.812,9.01,N,28.52,0.00117,1.94,2021-11-27,7
"       (2021 WE1)",0.873,7.76,N,26.27,0.0144,1.73,2021-11-26,7
"       (2021 WF1)",0.271,39.07,N,21.85,0.0534,1.09,2021-11-26,6
"       (2021 WG1)",1.081,17.71,N,22.53,0.101,3.95,2021-11-26,6
"       (2021 WH1)",1.178,22.14,N,21.44,0.215,1.46,2018-11-18,1
"       (2021 WJ1)",0.943,7.18,N,27.30,0.00293,3.32,2021-11-27,7
"       (2021 WK1)",0.989,0.47,N,26.27,0.00363,4.13,2021-11-27,6
"       (2021 WO1)",0.713,21.09,N,22.44,0.0868,1.22,2021-11-26,2
"       (2021 WP1)",1.066,1.39,N,25.75,0.083,3.93,2021-11-26,7
"       (2021 WQ1)",0.948,6.62,N,25.66,0.00347,3.10,2021-11-26,6
"       (2021 WR1)",1.179,2.44,N,23.84,0.201,1.90,2021-11-26,6
"       (2021 WS1)",0.975,7.54,N,25.98,0.0521,1.30,2021-11-26,7
"       (2021 WT1)",0.816,7.06,N,23.18,0.0167,3.43,2021-11-26,6
"       (2021 WU1)",0.923,2.96,N,26.16,0.00889,2.11,2021-11-27,7
"       (2021 WV1)",0.941,1.79,N,28.51,0.00175,1.16,2021-11-27,5
"       (2021 WW1)",1.010,14.95,N,25.87,0.0243,1.08,2021-11-27,6
"       (2021 WX1)",0.936,9.74,N,25.05,0.0209,1.26,2021-11-27,6
"       (2021 WY1)",0.545,21.54,N,24.49,0.0321,1.25,2021-11-27,7
"       (2021 WZ1)",0.841,1.94,N,26.68,0.00106,3.26,2021-11-28,7
"       (2021 WA2)",1.044,6.04,N,24.43,0.0558,2.58,2021-11-27,6
"       (2021 WB2)",0.687,4.63,N,24.58,0.00459,2.48,2021-11-27,0
"       (2021 WD2)",1.008,9.37,N,23.83,0.0745,1.70,2021-10-28,5
"       (2021 WF2)",0.642,18.26,N,25.04,0.00847,1.26,2021-11-28,7
"       (2021 WG2)",0.954,7.68,N,27.22,0.00674,1.48,2021-11-28,6
"       (2021 WH2)",0.783,10.86,N,28.00,0.0167,1.11,2021-11-28,5
"       (2021 WJ2)",0.806,28.62,N,22.46,0.137,3.02,2021-11-27,8
"       (2021 WK2)",1.164,8.29,N,25.11,0.184,2.18,2021-11-27,9
"       (2021 WL2)",0.978,1.71,N,27.04,0.00223,3.03,2021-11-27,7
"       (2021 WM2)",0.831,2.32,N,25.99,0.0177,2.97,2021-11-28,8
"       (2021 WN2)",0.744,0.28,N,26.72,0.00226,1.30,2021-11-28,7
"       (2021 WO2)",0.439,16.93,N,24.67,0.0324,1.48,2021-11-28,8
"       (2021 WP2)",0.987,10.00,N,26.82,0.00792,2.00,2021-11-26,6
"       (2021 WQ2)",0.721,6.27,N,23.32,0.00755,1.39,2021-11-26,8
"       (2021 WR2)",1.096,23.74,N,23.93,0.23,1.82,2021-11-27,8
"       (2021 WS2)",0.963,31.59,N,22.67,0.261,2.86,2021-11-26,5
"       (2021 WT2)",0.736,14.18,N,24.13,0.0138,1.61,2021-11-25,7
"       (2021 WU2)",1.006,3.66,N,27.59,0.0214,2.86,2021-11-24,7
"       (2021 WV2)",1.035,9.60,N,24.39,0.0824,3.06,2021-11-24,6
"       (2021 WW2)",0.940,5.80,N,25.51,0.0298,3.59,2021-11-26,8
"       (2021 WX2)",0.842,4.91,N,27.34,0.00436,2.67,2021-11-26,8
"       (2021 WY2)",0.407,5.39,N,27.00,0.00601,4.53,2021-11-28,8
"       (2021 WZ2)",0.818,2.49,N,26.15,0.0211,3.29,2021-11-28,8
"       (2021 WA3)",1.005,8.06,N,26.70,0.0428,2.25,2021-11-26,8
"       (2021 WB3)",0.899,4.36,N,26.51,0.00727,2.61,2021-11-27,8
"       (2021 WC3)",0.610,0.23,N,28.61,0.000866,1.50,2021-11-28,7
"       (2021 WD3)",0.884,8.88,N,25.55,0.0441,1.10,2021-11-27,6
"       (2021 WE3)",0.665,21.42,N,25.18,0.00206,1.11,2021-11-28,7
"       (2021 WF3)",0.802,0.85,N,29.42,0.000929,2.12,2021-11-28,7
"       (2021 WG3)",0.935,25.89,N,26.56,0.0186,1.72,2021-11-29,8
"       (2021 WH3)",0.614,4.68,N,25.90,0.00634,1.14,2021-11-29,6
"       (2021 WJ3)",0.994,7.62,N,26.11,0.0244,1.65,2021-11-22,7
"       (2021 WO3)",0.981,25.65,N,24.03,0.00343,1.18,2021-11-04,7
"       (2021 WP3)",0.947,19.59,N,21.37,0.0996,3.51,2021-11-24,4
"       (2021 WQ3)",0.959,8.26,N,23.80,0.0564,1.75,2021-11-21,8
"       (2021 WR3)",0.776,33.18,N,19.64,0.188,2.89,2011-12-02,0
"       (2021 WS3)",1.072,25.66,N,23.81,0.17,3.48,2021-11-26,8
"       (2021 WV3)",0.646,8.03,N,25.20,0.094,1.20,2021-11-27,6
"       (2021 WW3)",0.967,6.38,N,26.96,0.011,2.34,2021-11-27,7
"       (2021 WX3)",1.070,7.86,N,20.50,0.127,3.33,2021-11-28,3
"       (2021 WY3)",0.537,7.09,N,21.20,0.108,2.22,2021-11-28,7
"       (2021 WZ3)",0.999,4.37,N,24.76,0.0441,2.39,2021-11-28,8
"       (2021 WA4)",1.082,15.34,N,25.54,0.116,1.92,2021-11-14,9
"       (2021 WB4)",1.021,27.08,N,23.69,0.0731,1.75,2021-11-28,8
"       (2021 WC4)",0.808,3.53,N,28.25,0.00585,3.32,2021-11-29,8
"       (2021 WD4)",1.096,19.58,N,23.06,0.141,1.74,2021-11-28,6
"       (2021 WE4)",0.890,4.08,N,28.19,0.00124,1.93,2021-11-28,8
"       (2021 WK4)",0.909,8.92,N,27.71,0.0105,2.42,2021-11-29,7
"       (2021 WL4)",1.031,18.46,N,23.98,0.0586,1.59,2021-11-29,7
"       (2021 WM4)",0.711,11.49,N,27.65,0.00262,2.23,2021-11-30,8
"       (2021 WN4)",1.013,8.20,N,24.98,0.03,3.33,2021-11-29,7
"       (2021 WP4)",1.180,6.25,N,20.19,0.176,3.37,2021-11-28,9
"       (2021 WQ4)",1.040,2.26,N,25.95,0.0547,3.93,2021-11-29,8
"       (2021 WR4)",0.959,0.40,N,30.43,0.00117,1.60,2021-11-29,6
"       (2021 WS4)",0.989,2.76,N,30.66,0.00428,1.21,2021-11-30,5
"       (2021 WT4)",0.986,7.46,N,26.71,0.0263,2.05,2021-11-28,8
"       (2021 WU4)",0.713,29.23,N,24.88,0.00249,2.03,2021-11-29,9
"       (2021 WV4)",1.139,12.57,N,21.80,0.186,3.78,2021-11-28,5
"       (2021 WW4)",1.064,2.31,N,24.96,0.0783,3.74,2021-11-26,9
"       (2021 WX4)",1.239,13.07,N,22.61,0.262,2.03,2021-11-28,6
"       (2021 WY4)",0.309,12.14,N,20.77,0.184,4.82,2021-11-28,9
"       (2021 WZ4)",0.783,0.92,N,24.76,0.00275,3.09,2021-11-29,8
"       (2021 WA5)",0.952,3.39,N,27.29,0.0026,1.67,2021-11-29,7
"       (2021 WB5)",1.030,13.97,N,25.73,0.0575,2.41,2021-11-28,9
"       (2021 WC5)",0.927,1.00,N,28.32,0.00579,2.66,2021-11-29,8
"       (2021 WD5)",1.099,17.82,N,22.76,0.15,1.56,2021-11-28,7
"       (2021 WE5)",1.021,4.81,N,27.42,0.0351,3.77,2021-11-30,8
"       (2021 WF5)",1.013,15.19,N,27.14,0.0295,1.39,2021-11-30,7
"       (2021 WS5)",0.734,28.98,N,23.42,0.172,1.46,2021-11-29,7
"       (2021 WU5)",1.158,3.13,N,22.40,0.181,4.57,2021-11-28,5
"       (2021 WV5)",0.591,1.85,N,24.61,0.00857,1.55,2021-11-29,9
"       (2021 WZ5)",0.990,2.43,N,29.09,0.0108,1.23,2021-11-27,6
"       (2021 WA6)",1.035,4.50,N,24.58,0.0546,3.16,2021-11-30,8
"       (2021 WB6)",1.180,17.37,N,22.63,0.27,4.76,2021-11-30,5
"       (2021 WC6)",1.198,7.44,N,23.63,0.215,2.39,2021-11-29,7
"       (2021 WD6)",0.897,4.35,N,24.60,0.0268,1.24,2021-11-29,7
"       (2021 WE6)",0.946,2.01,N,25.85,0.00516,4.07,2021-11-29,9
"       (2021 WF6)",1.135,23.95,N,23.61,0.19,1.50,2021-11-30,8
"       (2021 WG6)",1.054,1.19,N,25.08,0.0674,3.83,2021-11-30,9
"       (2021 WH6)",0.959,18.08,N,23.57,0.159,2.06,2021-11-26,9
"       (2021 WJ6)",1.002,6.62,N,26.66,0.0322,2.98,2021-11-29,8
"       (2021 WK6)",0.885,9.18,N,26.47,0.0184,2.74,2021-11-28,9
"       (2021 WM6)",1.164,26.92,N,21.46,0.398,4.13,2021-11-29,8
"       (2021 WN6)",1.049,8.24,N,25.07,0.0677,1.57,2021-11-30,7
"       (2021 WO6)",0.717,13.06,N,25.95,0.0354,1.48,2021-11-29,8
"       (2021 WP6)",0.336,8.44,N,23.01,0.0939,2.57,2021-11-30,9
"       (2021 WQ6)",1.051,21.02,N,23.91,0.144,1.88,2021-11-30,8
"       (2021 WR6)",1.127,23.07,N,24.98,0.173,2.04,2021-11-30,9
"       (2021 WU6)",1.097,33.85,N,21.55,0.222,2.16,2021-11-30,9
"       (2021 WV6)",1.113,2.61,N,25.28,0.128,3.83,2021-11-27,9
"       (2021 WX6)",0.951,20.53,N,21.21,0.0599,2.10,2019-10-28,2
"       (2021 WC8)",0.782,17.72,Y,19.81,0.0049,4.45,2000-11-26,0
"       (2021 XB)",0.751,1.37,N,28.43,0.00525,4.45,2021-12-01,8
"       (2021 XC)",0.924,9.50,N,26.29,0.000686,1.47,2021-12-01,7
"       (2021 XD)",1.046,1.88,N,25.27,0.0693,4.03,2021-11-27,7
"       (2021 XE)",0.956,3.17,N,28.79,0.00327,1.19,2021-11-27,6
"       (2021 XF)",0.553,4.37,N,28.35,0.00484,1.08,2021-12-01,7
"       (2021 XG)",0.788,3.73,N,27.93,0.00209,1.12,2021-12-01,6
"       (2021 XK)",1.014,32.55,N,24.04,0.044,1.09,2021-12-01,2
"       (2021 XL)",0.958,0.30,N,28.79,0.00102,5.03,2021-12-02,6
"       (2021 XM)",0.476,8.58,N,27.20,0.000692,1.02,2021-12-01,8
"       (2021 XS)",0.325,19.86,N,24.07,0.0521,1.90,2021-11-29,8
"       (2021 XT)",0.931,24.92,N,24.62,0.0266,2.22,2021-12-01,8
"       (2021 XU)",0.843,15.94,N,25.30,0.0154,4.46,2021-12-01,9
"       (2021 XV)",0.700,7.14,N,30.10,0.000668,1.36,2021-12-02,7
"       (2021 XW)",1.124,33.95,N,23.82,0.147,2.04,2021-12-01,9
"       (2021 XX)",0.958,22.84,N,25.39,0.0774,3.63,2021-12-01,9
"       (2021 XY)",1.067,3.85,N,23.22,0.104,1.77,2021-12-01,4
"       (2021 XZ)",0.578,6.43,N,28.21,0.00359,1.07,2021-12-01,7
"       (2021 XA1)",0.427,6.31,N,26.98,0.00908,1.02,2021-11-29,8
"       (2021 XB1)",0.858,8.20,N,21.89,0.0658,2.47,2021-12-01,5
"       (2021 XC1)",1.141,11.24,N,24.29,0.161,4.34,2021-11-27,8
"       (2021 XD1)",1.058,1.49,N,26.07,0.0772,3.58,2021-11-27,8
"       (2021 XE1)",0.810,14.06,N,24.06,0.0111,2.25,2021-12-02,7
"       (2021 XF1)",0.916,0.50,N,29.54,0.00201,2.10,2021-12-02,7
"       (2021 XG1)",0.938,8.17,N,27.38,0.02,1.16,2021-11-28,7
"       (2021 XH1)",0.768,8.32,N,25.79,0.0277,2.34,2021-12-02,8
"       (2021 XJ1)",0.974,28.27,N,25.23,0.0734,1.73,2021-12-02,9
"       (2021 XK1)",0.825,10.82,N,26.32,0.00194,1.33,2021-12-02,6
"       (2021 XL1)",1.110,15.36,N,23.93,0.18,3.71,2021-11-27,9
"       (2021 XM1)",1.026,24.02,N,25.45,0.121,1.38,2021-12-01,8
"       (2021 XN1)",0.974,8.07,N,26.74,0.0189,2.94,2021-12-03,8
"       (2021 XO1)",0.497,24.65,N,18.17,0.373,4.22,2013-11-26,1
"       (2021 XQ1)",0.477,7.76,N,27.76,0.00138,1.83,2021-12-02,8
"       (2021 XT1)",0.993,0.48,N,28.60,0.0131,2.28,2021-12-02,7
"       (2021 XU1)",0.960,13.38,N,25.03,0.042,1.87,2021-12-02,9
"       (2021 XV1)",0.681,5.70,N,22.92,0.0123,3.60,2021-12-02,9
"       (2021 XW1)",0.716,4.21,N,23.60,0.000277,3.24,2021-12-02,9
"       (2021 XX1)",0.800,7.35,N,27.82,0.0182,1.31,2021-12-02,7
"       (2021 XY1)",1.081,18.63,N,24.98,0.106,1.55,2021-12-02,8
"       (2021 XZ1)",1.152,26.90,N,23.61,0.249,2.29,2021-12-02,8
"       (2021 XA2)",1.125,30.77,N,23.94,0.141,1.56,2021-12-02,8
"       (2021 XB2)",0.414,10.85,N,22.02,0.0866,1.38,2021-12-02,5
"       (2021 XC2)",0.903,3.39,N,29.77,0.000832,2.48,2021-12-03,7
"       (2021 XD2)",0.898,7.15,N,27.30,0.00792,1.47,2021-12-03,6
"       (2021 XE2)",0.903,1.24,N,28.03,0.00481,2.02,2021-12-03,7
"       (2021 XG2)",0.894,14.18,Y,21.93,0.0337,2.14,2021-12-02,6
"       (2021 XH2)",0.713,17.74,N,19.82,0.15,3.73,2021-12-02,5
"       (2021 XK2)",1.016,11.55,N,25.67,0.0392,1.90,2021-12-03,8
"       (2021 XL2)",1.084,6.43,N,24.06,0.101,2.52,2021-12-03,7
"       (2021 XM2)",0.936,36.56,N,26.02,0.0182,1.75,2021-12-03,8
"       (2021 XN2)",0.979,6.75,N,27.36,0.00575,2.61,2021-12-04,6
"       (2021 XO2)",0.817,8.87,N,25.42,0.00818,2.75,2021-12-04,7
"       (2021 XP2)",0.986,7.98,N,25.56,0.00145,2.57,2021-12-04,5
"       (2021 XQ2)",0.753,2.78,N,25.42,0.0213,4.21,2021-12-03,8
"       (2021 XT2)",0.815,12.31,N,22.45,0.00698,2.96,2021-12-03,8
"       (2021 XU2)",0.969,29.06,Y,19.94,0.0115,2.40,2019-07-05,1
"       (2021 XV2)",1.177,26.13,N,23.80,0.191,1.27,2021-12-02,9
"       (2021 XW2)",0.810,6.63,N,23.12,0.0944,3.61,2021-12-02,9
"       (2021 XX2)",0.964,5.02,N,28.56,0.00413,1.97,2021-12-05,7
"       (2021 XY2)",0.627,14.94,N,24.28,0.00905,2.06,2021-12-04,8
"       (2021 XZ2)",0.681,6.64,N,26.14,0.0203,3.88,2021-12-05,9
"       (2021 XA3)",1.017,9.32,N,26.46,0.0373,3.12,2021-12-05,8
"       (2021 XB3)",0.482,18.66,N,22.66,0.0769,2.53,2021-12-04,9
"       (2021 XC3)",1.007,7.09,N,25.37,0.0229,4.00,2021-12-05,8
"       (2021 XD3)",1.054,7.74,N,24.72,0.0744,3.42,2021-12-05,7
"       (2021 XE3)",0.968,2.20,N,27.21,0.00513,2.63,2021-12-04,7
"       (2021 XF3)",1.025,7.27,N,24.94,0.08,1.71,2021-12-05,8
"       (2021 XG3)",1.014,1.77,N,26.23,0.0361,4.74,2021-12-06,8
"       (2021 XH3)",0.800,4.25,N,25.06,0.0272,1.06,2021-12-06,5
"       (2021 XJ3)",1.030,4.42,N,26.22,0.0475,2.28,2021-12-05,7
"       (2021 XK3)",0.908,8.86,N,27.22,0.00101,2.58,2021-12-05,8
"       (2021 XL3)",0.980,7.79,N,26.10,0.00379,2.77,2021-12-06,8
"       (2021 XM3)",0.979,22.67,N,23.62,0.00993,1.36,2021-12-06,7
"       (2021 XN3)",0.787,12.55,N,23.46,0.00706,1.87,2021-12-06,7
"       (2021 XO3)",0.374,4.94,N,24.85,0.00702,1.08,2021-12-06,8
"       (2021 XP3)",0.484,3.01,N,25.71,0.0134,1.11,2021-12-06,8
"       (2021 XQ3)",0.704,4.57,N,24.71,0.0134,4.43,2021-12-06,8
"       (2021 XT3)",0.994,6.75,N,27.44,0.0169,2.67,2021-12-05,8
"       (2021 XU3)",1.037,29.71,N,21.73,0.115,1.93,2021-12-06,7
"       (2021 XV3)",1.003,1.87,N,26.11,0.0168,3.13,2021-12-06,8
"       (2021 XX3)",1.152,39.30,N,20.26,0.278,3.59,2021-12-06,6
"       (2021 XY3)",0.712,8.03,N,26.69,0.00229,2.81,2021-12-07,8
"       (2021 XA4)",0.672,12.12,N,26.55,0.00983,1.77,2021-12-06,8
"       (2021 XC4)",0.666,0.95,N,26.29,0.0011,2.16,2021-12-07,8
"       (2021 XE4)",0.989,17.30,N,24.20,0.0501,3.94,2021-11-21,8
"       (2021 XF4)",1.110,10.10,N,24.20,0.131,1.31,2021-12-06,6
"       (2021 XG4)",0.453,5.94,N,24.87,0.0152,1.72,2021-11-30,9
"       (2021 XJ4)",0.608,7.01,N,27.32,0.00707,3.83,2021-12-08,9
"       (2021 XK4)",0.702,10.89,N,26.42,0.00459,1.31,2021-12-08,8
"       (2021 XN4)",0.975,23.35,N,23.79,0.0305,1.64,2021-12-08,8
"       (2021 XQ4)",0.600,0.91,N,26.76,0.000907,2.26,2021-12-09,8
"       (2021 XR4)",0.834,6.01,N,26.74,0.00493,2.15,2021-12-08,8
"       (2021 XS4)",0.808,14.63,N,25.98,0.0319,1.19,2021-12-08,7
"       (2021 XT4)",0.950,4.99,N,28.39,0.009,2.58,2021-12-08,8
"       (2021 XV4)",0.633,1.81,N,28.64,0.000465,3.73,2021-12-08,8
"       (2021 XW4)",0.987,6.59,N,24.51,0.0642,1.84,2021-12-08,7
"       (2021 XX4)",0.804,0.52,N,28.59,0.00212,2.91,2021-12-08,8
"       (2021 XY4)",0.746,7.79,N,23.66,0.00464,2.94,2021-12-09,8
"       (2021 XB5)",0.908,15.64,N,25.37,0.006,2.78,2021-12-09,8
"       (2021 XC5)",0.915,11.38,N,27.05,0.0139,1.44,2021-12-09,8
"       (2021 XD5)",0.718,9.31,N,26.09,0.0106,2.20,2021-12-08,8
"       (2021 XE5)",1.035,0.10,N,25.46,0.0486,4.29,2021-12-08,7
"       (2021 XF5)",0.485,3.38,N,27.70,0.00258,1.01,2021-12-08,7
"       (2021 XG5)",1.034,9.96,N,25.75,0.073,2.09,2021-12-09,9
"       (2021 XH5)",0.851,2.43,N,23.67,0.0228,2.82,2021-11-28,8
"       (2021 XJ5)",0.864,12.15,Y,20.98,0.0345,2.00,2014-05-05,0
"       (2021 XK5)",1.082,17.00,N,21.95,0.117,1.38,2021-12-10,5
"       (2021 XL5)",0.975,6.37,N,25.70,0.0128,4.67,2021-12-08,8
"       (2021 XM5)",0.653,16.30,N,22.60,0.134,1.65,2021-12-08,9
"       (2021 XN5)",1.103,8.43,N,23.03,0.123,2.97,2021-12-08,5
"       (2021 XO5)",1.079,1.60,N,25.01,0.0973,3.60,2021-12-08,8
"       (2021 XQ5)",0.895,4.51,N,27.72,0.0101,2.72,2021-11-30,8
"       (2021 XR5)",0.965,7.85,N,27.63,0.0242,2.77,2021-12-08,8
"       (2021 XU5)",0.602,2.03,N,29.41,0.000121,2.83,2021-12-08,9
"       (2021 XV5)",0.950,2.62,N,25.60,0.0149,2.47,2021-11-29,7
"       (2021 XW5)",0.950,5.89,N,27.38,0.00293,3.16,2021-12-12,7
"       (2021 XY5)",0.918,4.68,N,22.35,0.00922,3.83,2021-11-28,6
"       (2021 XZ5)",0.784,11.62,N,28.29,0.0012,1.08,2021-12-12,6
"       (2021 XA6)",0.748,6.74,N,24.83,0.00119,1.03,2021-12-12,5
"       (2021 XB6)",0.783,0.91,N,24.06,0.0134,3.37,2021-12-12,8
"       (2021 XC6)",0.607,9.94,N,28.30,0.00152,1.17,2021-12-12,5
"       (2021 XD6)",0.914,0.83,N,28.49,0.00271,1.33,2021-12-13,5
"       (2021 XE6)",0.967,5.26,N,24.23,0.0123,3.16,2021-12-11,7
"       (2021 XF6)",0.650,9.78,N,24.34,0.104,1.10,2021-12-12,6
"       (2021 XG6)",1.081,15.30,N,24.41,0.102,4.08,2021-12-12,7
"       (2021 XH6)",0.996,6.62,N,23.84,0.107,2.75,2021-12-12,7
"       (2021 XK6)",1.000,20.95,N,22.76,0.017,1.91,2021-12-14,3
"       (2021 XL6)",0.976,23.19,Y,21.19,0.00175,1.98,2021-12-04,5
"       (2021 XM6)",0.644,8.01,N,24.11,0.0015,2.94,2021-12-14,9
"       (2021 XN6)",0.959,1.52,N,27.02,0.0105,4.02,2021-12-09,9
"       (2021 XR6)",0.828,5.05,N,26.44,0.00874,1.36,2021-12-03,7
"       (2021 XY6)",0.986,6.24,N,22.74,0.0901,2.00,2021-12-01,4
"       (2021 XA11)",0.897,9.70,N,28.30,0.000311,2.95,2021-12-11,9
"       (2021 YA)",0.852,1.57,N,24.18,0.0214,2.57,2021-12-16,7
"       (2021 YB)",0.850,5.22,N,27.52,0.000716,1.19,2021-12-12,6
"       (2021 YC)",0.992,6.64,N,25.80,0.00972,1.56,2021-12-17,6
"       (2021 YD)",0.948,14.12,N,24.27,0.00179,2.25,2021-12-16,8
"       (2021 YE)",0.980,3.41,N,25.93,0.00963,2.34,2021-12-08,7
"       (2021 YG)",1.200,20.79,N,20.65,0.229,3.41,2021-11-09,5
"       (2021 YH)",0.963,5.80,N,27.03,0.00422,3.56,2021-12-17,8
"       (2021 YJ)",1.009,32.37,Y,19.90,0.0272,3.60,2021-12-26,6
"       (2021 YK)",0.916,0.48,N,27.35,0.000952,1.78,2021-12-27,6
"       (2021 YL)",0.840,14.71,N,25.45,0.0302,1.05,2021-12-27,5
"       (2021 YM)",0.565,9.89,N,18.61,0.144,4.34,2021-12-25,5
"       (2021 YN)",0.505,6.98,N,21.02,0.053,2.80,2021-12-07,1
"       (2021 YO)",1.056,34.92,N,20.46,0.276,2.96,2021-12-27,6
"       (2021 YQ)",0.781,1.31,N,23.80,0.0119,2.94,2021-12-01,7
"       (2021 YR)",0.806,4.02,N,25.85,0.00152,3.22,2021-12-30,6
"       (2021 YS)",1.060,7.08,N,19.91,0.0781,3.25,2016-07-06,0
"       (2021 YT)",1.233,8.11,N,22.73,0.251,2.53,2021-12-27,6
"       (2021 YU)",1.020,10.23,N,24.64,0.0937,1.70,2021-12-27,8
"       (2021 YV)",1.031,8.42,N,26.52,0.0491,1.24,2021-12-27,7
"       (2021 YW)",0.335,6.54,N,25.08,0.00241,2.14,2021-12-27,8
"       (2021 YX)",0.891,8.12,N,25.09,0.0243,2.91,2021-12-27,8
"       (2022 AA)",0.962,1.92,N,24.60,0.00286,1.62,2022-01-01,5
"       (2022 AB)",0.831,7.11,N,23.60,0.0229,1.11,2022-01-02,4
"       (2022 AC)",0.404,4.01,N,25.32,0.00665,1.03,2022-01-01,7
"       (2022 AD)",0.928,12.85,N,24.33,0.061,1.04,2021-01-05,1
"       (2022 AE)",0.744,13.68,N,24.58,0.00478,4.16,2022-01-03,9
"       (2022 AF)",1.031,15.39,N,23.55,0.0558,2.47,2022-01-03,7
"       (2022 AG)",0.713,3.95,N,25.12,0.00161,1.01,2022-01-03,5
"       (2022 AH)",0.783,12.84,N,22.71,0.016,1.87,2022-01-03,5
"       (2022 AJ)",0.817,9.26,N,23.60,0.0717,2.77,2022-01-03,7
"       (2022 AK)",0.532,5.85,Y,22.03,0.015,1.77,2021-12-27,7
"       (2022 AL)",0.998,6.21,N,27.21,0.016,1.47,2022-01-04,7
"       (2022 AM)",0.714,9.06,N,28.18,0.00532,1.35,2022-01-05,6
"       (2022 AN)",0.992,1.13,N,26.73,0.0105,2.71,2022-01-05,7
"       (2022 AO)",0.835,6.09,N,23.95,0.0849,1.22,2022-01-04,2
"       (2022 AP)",0.973,11.40,Y,21.80,0.00311,4.15,2022-01-04,6
"       (2022 AQ)",0.858,16.43,N,27.04,0.0174,1.54,2022-01-05,8
"       (2022 AR)",1.136,57.27,N,20.95,0.255,2.67,2022-01-04,8
"       (2022 AS)",0.919,51.69,N,19.23,0.201,2.90,2014-01-19,0
"       (2022 AT)",1.003,12.60,N,25.29,0.0474,2.78,2022-01-04,8
"       (2022 AU)",0.935,4.70,N,29.13,0.00155,1.94,2022-01-05,7
"       (2022 AV)",0.987,1.36,N,27.83,0.0105,2.91,2022-01-04,8
"       (2022 AW)",0.805,5.23,N,24.33,0.0208,1.74,2022-01-05,7
"       (2022 AX)",0.655,1.99,N,26.77,0.007,1.17,2022-01-05,7
"       (2022 AY)",0.979,10.85,N,25.45,0.0308,4.76,2022-01-05,8
"       (2022 AZ)",0.642,6.38,N,23.91,0.00197,1.60,2022-01-05,7
"       (2022 AA1)",0.962,2.95,N,22.66,0.00183,4.21,2022-01-05,8
"       (2022 AB1)",0.983,5.88,N,28.47,0.00471,2.06,2022-01-06,6
"       (2022 AC1)",0.800,8.16,Y,20.97,0.0329,2.72,2014-12-17,0
"       (2022 AD1)",0.553,5.16,N,25.70,0.0205,1.11,2022-01-05,7
"       (2022 AE1)",0.667,6.30,N,23.48,0.000206,2.27,2022-01-03,0
"       (2022 AF1)",0.879,6.70,N,24.74,0.0101,3.53,2022-01-06,8
"       (2022 AG1)",0.810,23.33,N,25.14,0.0906,1.10,2022-01-05,7
"       (2022 AH1)",0.770,5.07,Y,21.51,0.0286,4.73,2022-01-05,6
"       (2022 AJ1)",0.899,8.14,N,27.86,0.00398,2.85,2022-01-04,8
"       (2022 AK1)",0.518,4.28,N,22.38,0.0617,2.79,2022-01-05,8
"       (2022 AL1)",1.015,8.65,N,26.28,0.0316,3.95,2022-01-05,8
"       (2022 AM1)",0.924,1.10,N,26.95,0.00588,3.70,2022-01-06,8
"       (2022 AO1)",0.803,1.39,N,29.60,0.0011,3.09,2022-01-05,7
"       (2022 AP1)",0.404,2.90,N,28.39,0.00102,1.06,2022-01-04,7
